#TYPE Microsoft.Azure.Management.Compute.Models.ResourceSkuCapabilities
"vmName","Name","Value"
"Basic_A0","MaxResourceVolumeMB","20480"
"Basic_A0","OSVhdSizeMB","1047552"
"Basic_A0","vCPUs","1"
"Basic_A0","MemoryPreservingMaintenanceSupported","True"
"Basic_A0","HyperVGenerations","V1"
"Basic_A0","MemoryGB","0.75"
"Basic_A0","MaxDataDiskCount","1"
"Basic_A0","CpuArchitectureType","x64"
"Basic_A0","LowPriorityCapable","False"
"Basic_A0","PremiumIO","False"
"Basic_A0","VMDeploymentTypes","IaaS"
"Basic_A0","vCPUsAvailable","1"
"Basic_A0","ACUs","50"
"Basic_A0","vCPUsPerCore","1"
"Basic_A0","EphemeralOSDiskSupported","False"
"Basic_A0","EncryptionAtHostSupported","False"
"Basic_A0","CapacityReservationSupported","False"
"Basic_A0","AcceleratedNetworkingEnabled","False"
"Basic_A0","RdmaEnabled","False"
"Basic_A0","MaxNetworkInterfaces","2"
"Basic_A1","MaxResourceVolumeMB","40960"
"Basic_A1","OSVhdSizeMB","1047552"
"Basic_A1","vCPUs","1"
"Basic_A1","MemoryPreservingMaintenanceSupported","True"
"Basic_A1","HyperVGenerations","V1"
"Basic_A1","MemoryGB","1.75"
"Basic_A1","MaxDataDiskCount","2"
"Basic_A1","CpuArchitectureType","x64"
"Basic_A1","LowPriorityCapable","True"
"Basic_A1","PremiumIO","False"
"Basic_A1","VMDeploymentTypes","IaaS"
"Basic_A1","vCPUsAvailable","1"
"Basic_A1","ACUs","100"
"Basic_A1","vCPUsPerCore","1"
"Basic_A1","EphemeralOSDiskSupported","False"
"Basic_A1","EncryptionAtHostSupported","False"
"Basic_A1","CapacityReservationSupported","False"
"Basic_A1","AcceleratedNetworkingEnabled","False"
"Basic_A1","RdmaEnabled","False"
"Basic_A1","MaxNetworkInterfaces","2"
"Basic_A2","MaxResourceVolumeMB","61440"
"Basic_A2","OSVhdSizeMB","1047552"
"Basic_A2","vCPUs","2"
"Basic_A2","MemoryPreservingMaintenanceSupported","True"
"Basic_A2","HyperVGenerations","V1"
"Basic_A2","MemoryGB","3.5"
"Basic_A2","MaxDataDiskCount","4"
"Basic_A2","CpuArchitectureType","x64"
"Basic_A2","LowPriorityCapable","True"
"Basic_A2","PremiumIO","False"
"Basic_A2","VMDeploymentTypes","IaaS"
"Basic_A2","vCPUsAvailable","2"
"Basic_A2","ACUs","100"
"Basic_A2","vCPUsPerCore","1"
"Basic_A2","EphemeralOSDiskSupported","False"
"Basic_A2","EncryptionAtHostSupported","False"
