#TYPE Selected.System.Management.Automation.PSCustomObject
"currencyCode","armSkuName","productId","skuId","location","retailPrice","type","unitOfMeasure"
"EUR","Standard_E2s_v5","DZH318Z096SR","DZH318Z096SR/02KN","EU North","0.0329","Consumption","1 Hour"
"EUR","Standard_E96_v5","DZH318Z08M9J","DZH318Z08M9J/00N3","EU North","6.0896","Consumption","1 Hour"
"EUR","Standard_E2ads_v5","DZH318Z093X0","DZH318Z093X0/016D","EU North","0.0263","Consumption","1 Hour"
"EUR","Standard_DC1ds_v3","DZH318Z08NRD","DZH318Z08NRD/003X","EU North","0.1638","Consumption","1 Hour"
"EUR","Standard_E48_v4","DZH318Z0D1L7","DZH318Z0D1L7/00VW","EU North","0.7649","Consumption","1 Hour"
"EUR","Standard_M208ms_v2","DZH318Z0BX63","DZH318Z0BX63/000F","EU North","21.4297","Consumption","1 Hour"
"EUR","Standard_M208-52ms_v2","DZH318Z0BX63","DZH318Z0BX63/01QN","EU North","21.4297","Consumption","1 Hour"
"EUR","Standard_M208-104ms_v2","DZH318Z0BX63","DZH318Z0BX63/01TG","EU North","21.4297","Consumption","1 Hour"
"EUR","Standard_F4","DZH318Z0BQ51","DZH318Z0BQ51/00N6","EU North","0.2033","Consumption","1 Hour"
"EUR","Standard_F4s","DZH318Z0BQ4P","DZH318Z0BQ4P/00MT","EU North","0.2033","Consumption","1 Hour"
"EUR","Standard_DC2s_v2","DZH318Z0CCGS","DZH318Z0CCGS/005T","EU North","0.1161","Consumption","1 Hour"
"EUR","Standard_E16-8as_v5","DZH318Z093WZ","DZH318Z093WZ/015V","EU North","0.1827","Consumption","1 Hour"
"EUR","Standard_E4d_v4","DZH318Z0D1LH","DZH318Z0D1LH/00W9","EU North","0.4535","Consumption","1 Hour"
"EUR","Standard_M32ms","DZH318Z0BPW5","DZH318Z0BPW5/018N","EU North","1.3032","Consumption","1 Hour"
"EUR","Standard_E32a_v4","DZH318Z0CM95","DZH318Z0CM95/0041","EU North","0.6819","Consumption","1 Hour"
"EUR","Standard_M64-32ms","DZH318Z0BQ4W","DZH318Z0BQ4W/01HQ","EU North","11.1616","Consumption","1 Hour"
"EUR","Standard_M64m","DZH318Z0BQ4W","DZH318Z0BQ4W/0538","EU North","11.1616","Consumption","1 Hour"
"EUR","Standard_M64ms","DZH318Z0BQ4W","DZH318Z0BQ4W/0032","EU North","11.1616","Consumption","1 Hour"
"EUR","Standard_M64-16ms","DZH318Z0BQ4W","DZH318Z0BQ4W/01L9","EU North","11.1616","Consumption","1 Hour"
"EUR","Standard_D64s_v3","DZH318Z0BPWD","DZH318Z0BPWD/01MB","EU North","2.1939","Consumption","1 Hour"
"EUR","Standard_M32dms_v2","DZH318Z08LV1","DZH318Z08LV1/00GR","EU North","2.6543","Consumption","1 Hour"
"EUR","Standard_M128s_v2","DZH318Z0BX63","DZH318Z0BX63/0255","EU North","2.8870","Consumption","1 Hour"
"EUR","Standard_D1","DZH318Z0BPVW","DZH318Z0BPVW/007C","EU North","0.0464","Consumption","1 Hour"
"EUR","Standard_DS1","DZH318Z0BPW4","DZH318Z0BPW4/0062","EU North","0.0464","Consumption","1 Hour"
"EUR","Standard_D96as_v5","DZH318Z08W0T","DZH318Z08W0T/002X","EU North","1.0614","Consumption","1 Hour"
"EUR","Standard_E64-16ads_v5","DZH318Z093X0","DZH318Z093X0/002J","EU North","1.0761","Consumption","1 Hour"
"EUR","Standard_F2s_v2","DZH318Z0BQ4X","DZH318Z0BQ4X/01TV","EU North","0.0131","Consumption","1 Hour"
"EUR","Standard_E32-8s_v5","DZH318Z096SR","DZH318Z096SR/02JS","EU North","2.0299","Consumption","1 Hour"
"EUR","Standard_E32-16s_v5","DZH318Z096SR","DZH318Z096SR/02JH","EU North","2.0299","Consumption","1 Hour"
"EUR","Standard_E32s_v5","DZH318Z096SR","DZH318Z096SR/02HC","EU North","2.0299","Consumption","1 Hour"
"EUR","Standard_DC32s_v3","DZH318Z08NR0","DZH318Z08NR0/0017","EU North","3.3165","Consumption","1 Hour"
"EUR","Basic_A0","DZH318Z0BPRB","DZH318Z0BPRB/00Q2","EU North","0.0022","Consumption","1 Hour"
"EUR","Standard_E16-4s_v3","DZH318Z0BQ4R","DZH318Z0BQ4R/04QX","EU North","0.2843","Consumption","1 Hour"
"EUR","Standard_E32_v4","DZH318Z0D1L7","DZH318Z0D1L7/00WX","EU North","0.5099","Consumption","1 Hour"
"EUR","Standard_E4ds_v4","DZH318Z0CSHB","DZH318Z0CSHB/013N","EU North","0.1818","Consumption","1 Hour"
"EUR","Standard_D64ds_v5","DZH318Z08MC6","DZH318Z08MC6/00NQ","EU North","3.6279","Consumption","1 Hour"
"EUR","Standard_L8s_v2","DZH318Z0BP44","DZH318Z0BP44/0029","EU North","0.9502","Consumption","1 Hour"
"EUR","Standard_E4_v3","DZH318Z0BQ4L","DZH318Z0BQ4L/00S2","EU North","0.0507","Consumption","1 Hour"
"EUR","Standard_E4-2s_v3","DZH318Z0BQ4R","DZH318Z0BQ4R/01BQ","EU North","0.0507","Consumption","1 Hour"
"EUR","Standard_E4s_v3","DZH318Z0BQ4R","DZH318Z0BQ4R/00S9","EU North","0.0507","Consumption","1 Hour"
"EUR","Standard_D64ds_v5","DZH318Z08MC6","DZH318Z08MC6/00NK","EU North","0.9403","Consumption","1 Hour"
"EUR","Standard_E104id_v5","DZH318Z08M9Q","DZH318Z08M9Q/006J","EU North","12.5391","Consumption","1 Hour"
"EUR","Standard_E2ds_v5","DZH318Z096SL","DZH318Z096SL/05D0","EU North","0.2267","Consumption","1 Hour"
"EUR","Standard_E48a_v4","DZH318Z0CM29","DZH318Z0CM29/0029","EU North","3.0448","Consumption","1 Hour"
"EUR","Standard_E48as_v4","DZH318Z0CM2D","DZH318Z0CM2D/002L","EU North","3.0448","Consumption","1 Hour"
"EUR","Standard_EC96iads_v5","DZH318Z09B62","DZH318Z09B62/002X","EU North","2.3691","Consumption","1 Hour"
"EUR","Standard_E48ds_v4","DZH318Z0CSHB","DZH318Z0CSHB/00ML","EU North","5.4418","Consumption","1 Hour"
"EUR","Standard_D2as_v5","DZH318Z08W0T","DZH318Z08W0T/002M","EU North","0.0173","Consumption","1 Hour"
"EUR","Standard_E4ds_v5","DZH318Z096SL","DZH318Z096SL/05GC","EU North","0.1818","Consumption","1 Hour"
"EUR","Standard_E4-2ds_v5","DZH318Z096SL","DZH318Z096SL/05GF","EU North","0.1818","Consumption","1 Hour"
"EUR","Standard_F72s_v2","DZH318Z0BQ4X","DZH318Z0BQ4X/00CJ","EU North","3.1096","Consumption","1 Hour"
"EUR","Standard_E4bds_v5","DZH318Z09LQP","DZH318Z09LQP/004N","EU North","0.0673","Consumption","1 Hour"
"EUR","Standard_E16d_v4","DZH318Z0D1L5","DZH318Z0D1L5/01BW","EU North","0.2303","Consumption","1 Hour"
"EUR","Standard_DC1ds_v3","DZH318Z08NRD","DZH318Z08NRD/003S","EU North","0.0655","Consumption","1 Hour"
"EUR","Standard_DS4_v2","DZH318Z0BQ4C","DZH318Z0BQ4C/0420","EU North","0.1205","Consumption","1 Hour"
"EUR","Standard_NV24s_v3","DZH318Z0C0XC","DZH318Z0C0XC/003J","EU North","0.4756","Consumption","1 Hour"
"EUR","Standard_DS4_v2_Promo","DZH318Z0BPSQ","DZH318Z0BPSQ/00D0","EU North","0.4742","Consumption","1 Hour"
"EUR","Standard_D4_v2_Promo","DZH318Z0BPSP","DZH318Z0BPSP/00KN","EU North","0.4742","Consumption","1 Hour"
"EUR","Standard_E32bs_v5","DZH318Z09LR5","DZH318Z09LR5/003L","EU North","0.4841","Consumption","1 Hour"
"EUR","Standard_E64-16as_v4","DZH318Z0CM92","DZH318Z0CM92/00P4","EU North","6.7087","Consumption","1 Hour"
"EUR","Standard_D96ads_v5","DZH318Z08W2R","DZH318Z08W2R/0003","EU North","4.9667","Consumption","1 Hour"
"EUR","Standard_L16s_v2","DZH318Z0BP44","DZH318Z0BP44/0026","EU North","0.7603","Consumption","1 Hour"
"EUR","Standard_DC48as_v5","DZH318Z09B6C","DZH318Z09B6C/0028","EU North","1.3961","Consumption","1 Hour"
"EUR","Standard_E48as_v5","DZH318Z093WZ","DZH318Z093WZ/016W","EU North","0.5489","Consumption","1 Hour"
"EUR","Standard_A5","DZH318Z0BPVJ","DZH318Z0BPVJ/00BW","EU North","0.1080","Consumption","1 Hour"
"EUR","Basic_A0","DZH318Z0BPRB","DZH318Z0BPRB/009K","EU North","0.0036","Consumption","1 Hour"
"EUR","Standard_NV48s_v3","DZH318Z0C0XC","DZH318Z0C0XC/000P","EU North","2.5364","Consumption","1 Hour"
"EUR","Standard_D48s_v5","DZH318Z08M9T","DZH318Z08M9T/001S","EU North","1.3614","Consumption","1 Hour"
"EUR","Standard_E4-2ds_v4","DZH318Z0CSHB","DZH318Z0CSHB/012D","EU North","0.1650","Consumption","1 Hour"
"EUR","Standard_NC24s_v3","DZH318Z0BP4M","DZH318Z0BP4M/0090","EU North","5.1548","Consumption","1 Hour"
"EUR","Standard_A5","DZH318Z0BPRT","DZH318Z0BPRT/01HJ","EU North","0.0300","Consumption","1 Hour"
"EUR","Standard_D2d_v5","DZH318Z08MC2","DZH318Z08MC2/00P5","EU North","0.1134","Consumption","1 Hour"
"EUR","Standard_D8s_v3","DZH318Z0BQ50","DZH318Z0BQ50/02PW","EU North","0.1027","Consumption","1 Hour"
"EUR","Standard_D8ds_v4","DZH318Z0CSHM","DZH318Z0CSHM/0081","EU North","0.1100","Consumption","1 Hour"
"EUR","Standard_NC24rs_v3","DZH318Z0BP4M","DZH318Z0BP4M/0095","EU North","5.5660","Consumption","1 Hour"
"EUR","Basic_A1","DZH318Z0BQNM","DZH318Z0BQNM/0066","EU North","0.0306","Consumption","1 Hour"
"EUR","Standard_D48a_v4","DZH318Z0CM94","DZH318Z0CM94/000S","EU North","4.2973","Consumption","1 Hour"
"EUR","Standard_D48as_v4","DZH318Z0CM93","DZH318Z0CM93/001F","EU North","4.2973","Consumption","1 Hour"
"EUR","Standard_A4m_v2","DZH318Z0BPW1","DZH318Z0BPW1/005W","EU North","0.1584","Consumption","1 Hour"
"EUR","Standard_EC8as_v5","DZH318Z09B68","DZH318Z09B68/003V","EU North","0.1521","Consumption","1 Hour"
"EUR","Standard_D8a_v4","DZH318Z0CM2B","DZH318Z0CM2B/000J","EU North","0.3851","Consumption","1 Hour"
"EUR","Standard_D8as_v4","DZH318Z0CM2C","DZH318Z0CM2C/0002","EU North","0.3851","Consumption","1 Hour"
"EUR","Dasv5_Type1","DZH318Z08W0S","DZH318Z08W0S/0004","EU North","5.3212","Consumption","1 Hour"
"EUR","Standard_E8-4s_v4","DZH318Z0CSHL","DZH318Z0CSHL/00S3","EU North","0.1017","Consumption","1 Hour"
"EUR","Standard_EC64as_v5","DZH318Z09B68","DZH318Z09B68/002L","EU North","6.0878","Consumption","1 Hour"
"EUR","Standard_E8-2ads_v5","DZH318Z093X0","DZH318Z093X0/0080","EU North","0.1345","Consumption","1 Hour"
"EUR","Standard_D8ads_v5","DZH318Z08W2P","DZH318Z08W2P/001H","EU North","0.2978","Consumption","1 Hour"
"EUR","Standard_F1","DZH318Z0BQ51","DZH318Z0BQ51/01BC","EU North","0.0136","Consumption","1 Hour"
"EUR","Standard_E48bs_v5","DZH318Z09LR4","DZH318Z09LR4/0082","EU North","2.2458","Consumption","1 Hour"
"EUR","Standard_D8as_v5","DZH318Z08W0T","DZH318Z08W0T/002H","EU North","0.0885","Consumption","1 Hour"
"EUR","Standard_D8d_v4","DZH318Z0D1L6","DZH318Z0D1L6/00K4","EU North","0.7846","Consumption","1 Hour"
"EUR","Standard_D32s_v4","DZH318Z0CP07","DZH318Z0CP07/009R","EU North","1.1463","Consumption","1 Hour"
"EUR","Standard_M128-32ms","DZH318Z0BPW5","DZH318Z0BPW5/01RS","EU North","5.5538","Consumption","1 Hour"
"EUR","Standard_L8s_v2","DZH318Z0BQM3","DZH318Z0BQM3/0044","EU North","0.1242","Consumption","1 Hour"
"EUR","Standard_D96a_v4","DZH318Z0CM2B","DZH318Z0CM2B/0047","EU North","0.9241","Consumption","1 Hour"
"EUR","Standard_D96as_v4","DZH318Z0CM2C","DZH318Z0CM2C/003L","EU North","0.9241","Consumption","1 Hour"
"EUR","Standard_D64ds_v4","DZH318Z0CSHH","DZH318Z0CSHH/0075","EU North","2.2835","Consumption","1 Hour"
"EUR","Standard_DC96as_v5","DZH318Z09B6B","DZH318Z09B6B/0013","EU North","4.3819","Consumption","1 Hour"
"EUR","Standard_E4s_v4","DZH318Z0CSHC","DZH318Z0CSHC/0122","EU North","0.1674","Consumption","1 Hour"
"EUR","Standard_D2_v5","DZH318Z08M9V","DZH318Z08M9V/0014","EU North","0.0567","Consumption","1 Hour"
"EUR","Standard_D16_v4","DZH318Z0D1MV","DZH318Z0D1MV/0015","EU North","0.5397","Consumption","1 Hour"
"EUR","Standard_E8-4ds_v4","DZH318Z0CSHB","DZH318Z0CSHB/00TL","EU North","0.3300","Consumption","1 Hour"
"EUR","Standard_E64ds_v4","DZH318Z0CSHK","DZH318Z0CSHK/00KJ","EU North","1.1171","Consumption","1 Hour"
"EUR","Standard_D64d_v4","DZH318Z0D1L2","DZH318Z0D1L2/003D","EU North","0.8798","Consumption","1 Hour"
"EUR","Standard_E16-8ds_v4","DZH318Z0CSHB","DZH318Z0CSHB/00SZ","EU North","1.8139","Consumption","1 Hour"
"EUR","Standard_E16as_v5","DZH318Z093WZ","DZH318Z093WZ/017M","EU North","0.2340","Consumption","1 Hour"
"EUR","Standard_DC4ds_v3","DZH318Z08NRF","DZH318Z08NRF/002G","EU North","0.1951","Consumption","1 Hour"
"EUR","Standard_M128","DZH318Z0BPW5","DZH318Z0BPW5/043Q","EU North","7.8802","Consumption","1 Hour"
"EUR","Standard_D8_v4","DZH318Z0D1MV","DZH318Z0D1MV/001F","EU North","0.2861","Consumption","1 Hour"
"EUR","Standard_L8s_v2","DZH318Z0BP44","DZH318Z0BP44/0033","EU North","0.1745","Consumption","1 Hour"
"EUR","Standard_DC32ads_v5","DZH318Z09B5X","DZH318Z09B5X/001V","EU North","4.0642","Consumption","1 Hour"
"EUR","Standard_M192ids_v2","DZH318Z08LV1","DZH318Z08LV1/009T","EU North","17.3097","Consumption","1 Hour"
"EUR","Standard_E32ds_v4","DZH318Z0CSHB","DZH318Z0CSHB/00MX","EU North","1.4513","Consumption","1 Hour"
"EUR","Standard_DC8ads_v5","DZH318Z09B5Z","DZH318Z09B5Z/002D","EU North","0.6847","Consumption","1 Hour"
"EUR","Standard_E48_v4","DZH318Z0D1L3","DZH318Z0D1L3/009T","EU North","5.0315","Consumption","1 Hour"
"EUR","Standard_E4bs_v5","DZH318Z09LR4","DZH318Z09LR4/008P","EU North","0.1872","Consumption","1 Hour"
"EUR","Standard_NC64as_T4_v3","DZH318Z0DF4B","DZH318Z0DF4B/002X","EU North","7.0155","Consumption","1 Hour"
"EUR","Standard_E20a_v4","DZH318Z0CM95","DZH318Z0CM95/004P","EU North","0.4262","Consumption","1 Hour"
"EUR","Standard_GS3","DZH318Z0BQPT","DZH318Z0BQPT/003Z","EU North","0.9663","Consumption","1 Hour"
"EUR","Standard_G3","DZH318Z0BQNL","DZH318Z0BQNL/0026","EU North","0.9663","Consumption","1 Hour"
"EUR","Standard_D15_v2","DZH318Z0BPVM","DZH318Z0BPVM/00CB","EU North","0.8746","Consumption","1 Hour"
"EUR","Standard_DS15_v2","DZH318Z0BQPW","DZH318Z0BQPW/0063","EU North","0.8746","Consumption","1 Hour"
"EUR","Standard_F32s_v2","DZH318Z0BPWJ","DZH318Z0BPWJ/0067","EU North","2.7065","Consumption","1 Hour"
"EUR","Standard_DC48ds_v3","DZH318Z08NRD","DZH318Z08NRD/0016","EU North","3.1375","Consumption","1 Hour"
"EUR","Standard_E32-16s_v5","DZH318Z096SR","DZH318Z096SR/02JG","EU North","0.5261","Consumption","1 Hour"
"EUR","Standard_E64d_v4","DZH318Z0D1LH","DZH318Z0D1LH/00VP","EU North","2.9026","Consumption","1 Hour"
"EUR","Standard_E32-8ds_v5","DZH318Z096SL","DZH318Z096SL/0869","EU North","1.0216","Consumption","1 Hour"
"EUR","Standard_E48s_v5","DZH318Z096T1","DZH318Z096T1/05HG","EU North","2.0128","Consumption","1 Hour"
"EUR","Standard_D64d_v4","DZH318Z0D1L2","DZH318Z0D1L2/003C","EU North","0.7252","Consumption","1 Hour"
"EUR","Standard_DC32as_v5","DZH318Z09B6B","DZH318Z09B6B/002N","EU North","3.6513","Consumption","1 Hour"
"EUR","Standard_DC4ds_v3","DZH318Z08NRF","DZH318Z08NRF/0027","EU North","0.4877","Consumption","1 Hour"
"EUR","Standard_NC4as_T4_v3","DZH318Z0DF4B","DZH318Z0DF4B/002P","EU North","0.2656","Consumption","1 Hour"
"EUR","Standard_M64","DZH318Z0BQ4W","DZH318Z0BQ4W/05KM","EU North","1.4405","Consumption","1 Hour"
"EUR","Standard_M64s","DZH318Z0BQ4W","DZH318Z0BQ4W/003Q","EU North","1.4405","Consumption","1 Hour"
"EUR","Standard_M32s","DZH318Z0BPW5","DZH318Z0BPW5/0047","EU North","1.9948","Consumption","1 Hour"
"EUR","Standard_A0","DZH318Z0BPVJ","DZH318Z0BPVJ/01D5","EU North","0.0029","Consumption","1 Hour"
"EUR","Standard_NV36ads_A10_v5","DZH318Z09JCM","DZH318Z09JCM/00JJ","EU North","1.9777","Consumption","1 Hour"
"EUR","Standard_D48_v4","DZH318Z0D1MV","DZH318Z0D1MV/000Z","EU North","1.7186","Consumption","1 Hour"
"EUR","Standard_E20as_v5","DZH318Z093XK","DZH318Z093XK/00VG","EU North","1.9705","Consumption","1 Hour"
"EUR","Standard_HC44-16rs","DZH318Z0BXNX","DZH318Z0BXNX/00HM","EU North","0.6838","Consumption","1 Hour"
"EUR","Standard_D2d_v4","DZH318Z0D1L2","DZH318Z0D1L2/00K9","EU North","0.0275","Consumption","1 Hour"
"EUR","Standard_D48d_v5","DZH318Z08M9F","DZH318Z08M9F/005M","EU North","1.8832","Consumption","1 Hour"
"EUR","Standard_M32ls","DZH318Z0BPW5","DZH318Z0BPW5/008W","EU North","4.1884","Consumption","1 Hour"
"EUR","Standard_E32-8s_v5","DZH318Z096T1","DZH318Z096T1/0867","EU North","1.1411","Consumption","1 Hour"
"EUR","Standard_D48s_v3","DZH318Z0BPWD","DZH318Z0BPWD/00Q6","EU North","1.7195","Consumption","1 Hour"
"EUR","Standard_D48_v3","DZH318Z0BPVL","DZH318Z0BPVL/00Q8","EU North","1.7195","Consumption","1 Hour"
"EUR","Standard_NC24s_v3","DZH318Z0BQM2","DZH318Z0BQM2/00G0","EU North","2.3790","Consumption","1 Hour"
"EUR","Standard_E64_v4","DZH318Z0D1L3","DZH318Z0D1L3/007V","EU North","2.5278","Consumption","1 Hour"
"EUR","Standard_E32_v3","DZH318Z0BQ4L","DZH318Z0BQ4L/02CL","EU North","0.5686","Consumption","1 Hour"
"EUR","Standard_E8-4ds_v5","DZH318Z096SN","DZH318Z096SN/01NB","EU North","0.5759","Consumption","1 Hour"
"EUR","Standard_E8-2ds_v5","DZH318Z096SN","DZH318Z096SN/01P0","EU North","0.5759","Consumption","1 Hour"
"EUR","Standard_E8ds_v5","DZH318Z096SN","DZH318Z096SN/01NC","EU North","0.5759","Consumption","1 Hour"
"EUR","Standard_D64ads_v5","DZH318Z08W2R","DZH318Z08W2R/0007","EU North","0.8477","Consumption","1 Hour"
"EUR","Standard_M416-208s_v2","DZH318Z0BX5L","DZH318Z0BX5L/02F2","EU North","49.9636","Consumption","1 Hour"
"EUR","Standard_M416s_v2","DZH318Z0BX5L","DZH318Z0BX5L/000D","EU North","49.9636","Consumption","1 Hour"
"EUR","Standard_M416-104s_v2","DZH318Z0BX5L","DZH318Z0BX5L/0261","EU North","49.9636","Consumption","1 Hour"
"EUR","Standard_H16mr","DZH318Z0BPW8","DZH318Z0BPW8/000N","EU North","1.6043","Consumption","1 Hour"
"EUR","Standard_E8bds_v5","DZH318Z09LQN","DZH318Z09LQN/0080","EU North","0.4013","Consumption","1 Hour"
"EUR","Standard_DC16ds_v3","DZH318Z08NRD","DZH318Z08NRD/0026","EU North","1.0455","Consumption","1 Hour"
"EUR","Standard_E32-16ds_v4","DZH318Z0CSHB","DZH318Z0CSHB/00P4","EU North","3.6279","Consumption","1 Hour"
"EUR","Standard_M32ms_v2","DZH318Z0BX63","DZH318Z0BX63/02CM","EU North","7.8469","Consumption","1 Hour"
"EUR","Standard_E8-2s_v4","DZH318Z0CSHL","DZH318Z0CSHL/00RQ","EU North","0.1275","Consumption","1 Hour"
"EUR","Standard_DS15_v2","DZH318Z0BQPW","DZH318Z0BQPW/02RF","EU North","0.8332","Consumption","1 Hour"
"EUR","Standard_NC24r","DZH318Z0BQ4Z","DZH318Z0BQ4Z/003G","EU North","3.8483","Consumption","1 Hour"
