VersionDate,VersionDateTo,company_name,Company_domain_name,Pipeline,Deal_owner,Create_Date,Deal_Name,Amount,Deal_Probability,Forecast_probability,Deal_Stage,Close_Date,Priority
2021-08-18,2023-05-16,Blogtags,blogtags.com,Sales Pipeline,Test User 2,2021-08-25,Blogtags Deal (2021-08-25),3723,.30,,Appointment scheduled,,
2021-08-18,2021-08-18,Blogtags,blogtags.com,Sales Pipeline,Test User 2,2021-08-25,Blogtags Deal (2021-08-25),4349,.00,,Closed lost,,
2021-08-11,2021-08-17,Blogtags,blogtags.com,Sales Pipeline,Test User 2,2021-08-25,Blogtags Deal (2021-08-25),3917,.20,,Qualified to buy,,
2021-11-13,2021-11-13,Yozio,yozio.com,Sales Pipeline,Test User 2,2021-11-20,Yozio Deal (2021-11-20),2396,.00,,Closed lost,,Medium
2021-11-13,2023-05-16,Yozio,yozio.com,Sales Pipeline,Test User 2,2021-11-20,Yozio Deal (2021-11-20),1520,.20,,Qualified to buy,,Medium
2021-07-05,2021-07-11,Dabvine,dabvine.com,Sales Pipeline,Test User 2,2021-08-02,Dabvine Deal (2021-08-02),3153,.30,,Appointment scheduled,,
2021-07-26,2021-07-26,Dabvine,dabvine.com,Sales Pipeline,Test User 2,2021-08-02,Dabvine Deal (2021-08-02),3338,.00,,Closed lost,,
2021-07-12,2021-07-25,Dabvine,dabvine.com,Sales Pipeline,Test User 2,2021-08-02,Dabvine Deal (2021-08-02),3632,.40,,Presentation scheduled,,
2021-06-28,2021-07-04,Dabvine,dabvine.com,Sales Pipeline,Test User 2,2021-08-02,Dabvine Deal (2021-08-02),2960,.20,,Qualified to buy,,
2020-03-17,2020-03-17,Einti,einti.com,Sales Pipeline,Clayton Farr,2020-03-24,Einti Deal (2020-03-24),7199,.00,,Closed lost,,
2020-05-21,2023-05-16,Zoozzy,zoozzy.com,Sales Pipeline,Test User 2,2020-05-28,Zoozzy Deal (2020-05-28),3871,.30,,Appointment scheduled,,High
2020-05-21,2020-05-21,Zoozzy,zoozzy.com,Sales Pipeline,Test User 2,2020-05-28,Zoozzy Deal (2020-05-28),3959,.00,,Closed lost,,High
2020-05-14,2020-05-20,Zoozzy,zoozzy.com,Sales Pipeline,Test User 2,2020-05-28,Zoozzy Deal (2020-05-28),3478,.20,,Qualified to buy,,High
2021-11-02,2021-11-08,Jetwire,jetwire.com,Sales Pipeline,Clayton Farr,2021-12-21,Jetwire Deal (2021-12-21),5436,.30,,Appointment scheduled,2022-01-26,High
2021-12-14,2021-12-14,Jetwire,jetwire.com,Sales Pipeline,Clayton Farr,2021-12-21,Jetwire Deal (2021-12-21),5241,.00,,Closed lost,2022-01-26,High
